,Latitude,Longitude
987365,41.752853763000005,-87.567465245
987373,41.748943754,-87.63518954700001
987374,41.964014013,-87.670898781
987395,41.871964663,-87.69666293200001
987405,41.734380183,-87.588077291
987407,41.898922542,-87.732006633
987434,41.694080478000004,-87.650912425
987511,41.870892631,-87.71187018399998
987517,41.909493094,-87.756565853
987527,41.900214286,-87.627259314
987528,41.816086305,-87.617039458
987683,41.883332927,-87.761644927
987688,41.860094531,-87.707925692
987918,41.701047248,-87.61603624799999
988135,41.881883864,-87.722192728
988137,41.749869687,-87.665852691
988245,41.9116839,-87.745917518
988266,41.949555731,-87.648609742
988274,41.721262518,-87.658727525
988306,41.883811077,-87.671812366
988323,41.729537068,-87.64951517899998
988354,41.879635827,-87.736182698
988358,41.919255648000004,-87.679000844
988406,41.705440148,-87.69896769299999
988492,41.896664035,-87.62917534399998
988495,41.938581442,-87.765830579
988541,41.659195477,-87.64008274700001
988687,41.770401416,-87.66188974399998
988694,41.779153403,-87.65449147
988810,41.950267393000004,-87.780104255
988823,41.889006322,-87.63661199
988874,41.876954977,-87.736237031
988919,41.981313322,-87.882548649
988973,41.902961643000005,-87.66586585200001
989134,41.812957211,-87.706091793
989142,41.7620695,-87.614675275
989518,41.936180978,-87.65983755100002
989520,42.012241922,-87.686548709
989589,41.764818751,-87.582410164
989606,41.998692163,-87.683816395
989684,41.768355144000004,-87.619711453
990082,41.866202226,-87.72303964700001
990178,41.872609435,-87.68244352399998
990179,41.846390395,-87.63517709700001
990223,41.764151886,-87.683229302
990260,41.893922498,-87.639537268
990296,41.728119242,-87.64097246700001
990304,41.835631433,-87.62507803
990476,41.787461373,-87.705830696
990695,41.862218265,-87.639087164
990709,41.884843358000005,-87.71472798299999
990737,41.684874134,-87.65756650799999
990740,41.895028832,-87.65151745600002
990795,41.884066474,-87.77294915
990813,41.890246706999996,-87.63255123
990842,41.949390691,-87.65827588100002
990888,41.90261354,-87.69687281700001
991044,41.92735143,-87.704597631
991086,41.761443013000004,-87.621602375
991155,41.814013900999996,-87.61828409600002
991191,41.860600554,-87.731760097
991242,41.707573376999996,-87.53649296
991432,41.878178565,-87.62823633200001
991448,41.729264928,-87.67624686200001
991487,41.976290414,-87.905227221
991551,41.945863902,-87.767912706
991559,41.877984858000005,-87.761740331
991742,41.744685667,-87.646294719
991751,41.998265427,-87.685027407
992006,41.760219741,-87.702507886
992140,41.736972756,-87.693091975
992232,41.844293786,-87.72130277
992323,41.945760194,-87.77758482200001
992401,41.763877129,-87.60279004200001
992452,41.697956831999996,-87.631094567
992635,41.761885494,-87.663708574
992835,41.75965714,-87.610281948
992836,41.886145419,-87.686569846
992931,41.750476891,-87.601523766
993020,41.896541195,-87.63783769700001
993107,41.788987036,-87.74147999
993633,41.789608278,-87.77682713
993782,41.949875493,-87.803487652
993915,41.747870291999995,-87.549183485
993957,41.720477026,-87.535289615
994436,41.979404783,-87.77261789
994441,41.872013415,-87.627533053
994592,41.799573336,-87.659098745
994673,41.781756818000005,-87.607217875
994759,41.949343283000005,-87.7825311
994802,41.917669106999995,-87.736346326
994813,41.93212821,-87.693503443
994851,41.912162426,-87.72762796399998
994871,41.777577536,-87.615558035
994905,41.69259636,-87.66927907200001
994989,41.926774014,-87.72683566
995016,41.779213408000004,-87.61560212
995033,41.793140731,-87.671843405
995074,41.781238369,-87.60595147
995075,41.783933495,-87.612957199
995110,41.768833001,-87.58441249399998
995113,41.903890702,-87.632045722
995244,42.016507666,-87.680474082
995331,41.727740589,-87.674591885
995521,41.895675136,-87.628569146
995527,41.764440087,-87.562936226
995530,41.861161041,-87.627270627
995543,41.954447381,-87.70802980399998
995708,41.899623833,-87.67284297799999
995806,41.895497512,-87.754392509
995882,41.996902406,-87.81965974100002
996010,41.896127078,-87.663736891
996142,41.904104845999996,-87.751952714
996149,41.888934107,-87.75619259
996279,41.889010145,-87.724677269
996395,41.778539146,-87.673888956
996596,41.745435298000004,-87.598895016
996601,41.775075653,-87.80081543600002
996614,41.920899379,-87.769525766
996719,41.967500181999995,-87.71333694
996731,41.943877614,-87.782129703
996859,41.935596200999996,-87.63860798700001
996939,41.811073772,-87.712500083
996962,41.992900144000004,-87.656900347
997106,41.690756016,-87.624439765
997126,41.976786319,-87.68985338899998
997130,41.980669019000004,-87.662469376
997225,41.967189655,-87.66015084700001
997226,41.742216265,-87.561226928
997275,41.846398939000004,-87.699599365
997282,41.91245631,-87.663445006
997283,41.881022767,-87.701512057
997474,41.686846653,-87.676865381
997506,41.924065433,-87.759396368
997544,41.883500186999996,-87.627876698
997613,41.895877613,-87.706566627
998021,41.828867984,-87.62171458799999
998062,41.906276004,-87.670011875
998063,41.912025957,-87.64588449899998
998110,41.846186132,-87.66590580399998
998568,41.880138214,-87.632312841
998641,41.768096835,-87.66387858899998
998651,41.72858934,-87.65724045
998824,41.909936584,-87.627622427
998884,41.863053545999996,-87.656732512
998924,42.005403904,-87.66885804700001
999235,41.738681424,-87.55631552700001
999273,41.775818341,-87.644683072
999300,41.981958501,-87.884022635
999414,41.871885541,-87.704216245
999812,41.891678766999995,-87.627551654
999941,41.949703953000004,-87.71333296899998
999985,41.737865442,-87.63798058200001
999988,41.75321614,-87.650172786
999995,41.958229824,-87.71427609700001
1000049,41.761484638,-87.55806373
1000097,41.759885069,-87.58839801399998
1000268,41.709250112,-87.536486903
1000516,41.704641317,-87.609312999
1000543,41.740846895,-87.65469355200001
1000567,41.961748615,-87.764819835
1000570,41.927379973,-87.70279669700001
1000617,41.875580565,-87.71608042700001
1000698,41.660392338,-87.58879926
1000711,41.787145015,-87.638013001
1000789,41.938741347,-87.667367342
1000842,41.841164277,-87.6171782
1000845,41.856470062,-87.6661109
1001208,41.843804786999996,-87.70745678200001
1001277,41.963819287,-87.688755802
1001292,41.952904259,-87.78748914799999
1001303,41.870237032,-87.65424457200001
1001315,41.746829565,-87.600209331
1001437,41.900286019,-87.67108034200001
1001482,41.947485405,-87.65674105299999
1001873,41.799826227,-87.62097242
1001895,41.746525207,-87.63055455
1001996,41.750794483,-87.63356068600002
1002000,41.750794483,-87.63356068600002
1002011,41.861553084,-87.66011099299999
1002031,41.780057245,-87.695857006
1002043,41.738831616999995,-87.66435849700001
1002085,41.743970443,-87.58579712299999
1002107,41.929020888000004,-87.72567515799999
1002152,41.994527362,-87.703175406
1002202,41.951557632,-87.748632205
1002463,41.769063716,-87.56984948200001
1002482,41.914447527,-87.70199814200001
1002595,41.744799406999995,-87.60505473
1002778,41.803807415,-87.58208345
1002866,41.972409516,-87.722026815
1003594,41.947636081,-87.772830201
1003802,41.935974325,-87.738167652
1004084,41.97602447,-87.84286776200001
1004505,41.881356058,-87.63086738700001
1004525,41.700545242,-87.672837183
1004595,41.765543457,-87.68326657200001
1004620,41.882302153000005,-87.629413845
1004626,41.801307936,-87.584690956
1004688,41.979716099,-87.785373506
1004774,41.921905202,-87.642688222
1005140,41.882028047,-87.72661268899998
1005329,41.895771210999996,-87.62189795
1005347,41.865213688000004,-87.72759037600002
1005361,41.93888059,-87.742977543
1005431,41.758421765,-87.57613306299999
1005611,41.860577993,-87.733217687
1005680,41.939444419000004,-87.68959676799999
1005767,41.754178109,-87.605278557
1005924,41.980907701,-87.778077398
1006209,41.722133485,-87.59934358
1006265,41.853449659,-87.72822628
1006310,41.758085371,-87.56514533299999
1006377,41.784387563,-87.63810512799999
1006749,41.873839312,-87.669102656
1006957,41.736662851,-87.55003063
1007560,41.83372791,-87.64008499100002
1007696,41.929581424,-87.63960668600002
1007829,41.722807143000004,-87.64203319100002
1007860,41.9116839,-87.745917518
1007911,41.786581721,-87.771833515
1008301,41.861637423000005,-87.65485686
1008705,42.021177983,-87.67227466899998
1009006,41.951014243,-87.764466738
1009692,41.721537498,-87.637647482
1009697,41.805012517,-87.745528494
1009952,41.982010203,-87.710051551
1010021,41.870824121999995,-87.71851637700001
1010099,41.787306991,-87.672904413
1010423,41.751336523,-87.66185025600002
1010461,41.957937234,-87.75119528
1010523,41.896970376999995,-87.63125092700001
1010591,41.954575882,-87.701925781
1011031,41.987185433,-87.666527947
1011062,41.735923836,-87.712487919
1011294,41.823820013,-87.617976878
1011305,41.742272692,-87.668089605
1011322,41.911468651,-87.78507587
1011368,41.777740745,-87.631760999
1011814,41.757036069,-87.647845275
1011826,41.953847138,-87.654526801
1011840,41.799030006,-87.585505972
1012098,41.8550043,-87.726409332
1012282,41.790191649,-87.685507465
1012633,41.958081605,-87.71427017799999
1012705,41.957054824000004,-87.74873637200001
1012799,41.700750961,-87.650746695
1013110,41.945850366,-87.826734115
1013313,41.867536169,-87.70326394799999
1013470,41.789901003000004,-87.652335605
1013553,41.691921056,-87.672577586
1014747,41.825705753,-87.613652178
1014751,41.736084484,-87.62943366200001
1014763,41.721759401999996,-87.561109234
1014957,41.695612571,-87.647351825
1015511,41.743747068000005,-87.55423908899998
1015715,41.882278512,-87.72571429799999
1015780,41.980151368,-87.66972382
1015904,41.898899461,-87.76077881799999
1016199,41.747280609,-87.584193981
1016274,41.881883933000005,-87.640060441
1016611,41.875021268000005,-87.67659557700001
1016654,41.784890021,-87.73516335299999
1016987,41.953812686999996,-87.71599892299999
1017092,41.889126004,-87.63734153799999
1017220,41.832571089,-87.704685773
1017278,41.892356214,-87.636476421
1017518,41.972356476,-87.839902501
1017634,41.884494554,-87.627138636
1017716,41.919149185,-87.759679255
1018010,41.991538784,-87.656859584
1019693,41.780182511999996,-87.687331418
1019784,41.687218241,-87.654382449
1019907,41.778479857,-87.612402303
1019932,41.675165651,-87.64067642399998
1019990,41.925329638,-87.656453395
1020018,41.763299374,-87.649823918
1020444,41.889010876,-87.722231307
1020655,41.914326986999995,-87.716680855
1020830,41.911406154,-87.672596612
1020851,41.785893320999996,-87.65587605799999
1021308,41.952769102,-87.79489798200001
1021442,41.738121365,-87.585227427
1021529,41.750794483,-87.63356068600002
1022029,41.758323282,-87.573685914
1022192,41.823820013,-87.617976878
1022299,41.965943868000004,-87.76858090299999
1022601,41.984410822,-87.65803846899998
1022860,41.773313781999995,-87.683481398
1022942,41.733854971,-87.608505057
1023075,41.865529454000004,-87.676211793
1023180,41.911559161999996,-87.77651123
1023240,41.746330371,-87.658479822
1023668,41.783449861,-87.640971514
1024001,41.941800473,-87.749423403
1024493,41.935001894,-87.653940174
1025096,41.68808797,-87.64833241
1025135,42.014216031,-87.664229139
1025259,41.748748672,-87.59905147399998
1026093,41.892242076,-87.748824572
1026602,41.67173951,-87.64779934299999
1026724,41.892571810999996,-87.621959165
1026838,41.802132606,-87.613677631
1026880,41.691636898,-87.62665985299999
1027562,41.893913117,-87.76352660100002
1027758,41.858663272,-87.69567527299999
1027800,41.890669366,-87.71983926200001
1028275,41.746372364,-87.741259579
1028329,41.881475570999996,-87.626195083
1028359,41.867608211,-87.680298775
1028805,41.875462218,-87.709920237
1029183,41.947977584,-87.647652496
1030808,41.845770099,-87.713607116
1031023,41.788652708,-87.72424510100002
1031378,41.808854421,-87.601685027
1031395,41.974184226,-87.801219466
1031574,41.939136391,-87.72366053100002
1031649,41.742490709,-87.64134575
1032166,41.89803243,-87.71273843899998
1032305,41.877532383,-87.650734075
1032311,41.74583022,-87.60186602600002
1032316,41.908357507,-87.63011957100002
1032776,41.926748485,-87.642643335
1032782,41.923409198,-87.677826638
1032797,41.884790951,-87.624469241
1033005,41.957999971999996,-87.729341205
1033125,42.019380377,-87.67224544700001
1033364,41.680663549,-87.65417679999999
1033744,41.945589305,-87.68579661700001
1033789,41.87008686,-87.744888644
1034519,41.935320985,-87.806654934
1034713,41.750716568,-87.549247791
1034850,41.926343892,-87.737456076
1035847,41.841097202,-87.618745976
1035889,41.946458557,-87.64465454
1035911,41.748499348,-87.62446081600002
1035982,41.757883934,-87.68226633299999
1036388,41.729171506,-87.55456177
1036720,41.816455303000005,-87.598557379
1037228,41.874128055,-87.633619572
1037656,41.922553986,-87.77567339
1039287,41.948979271,-87.757011425
1039691,41.794176844,-87.723187994
1040115,41.700990838,-87.613598065
1041302,41.830109680999996,-87.610058377
1041372,41.847867226,-87.696641335
1041814,41.762445793000005,-87.710634216
1041865,41.980826277,-87.883611316
1041936,41.730557453,-87.64346315
1041959,41.744038098000004,-87.71084142299999
1041963,41.934339353,-87.739340543
1042047,41.972625668,-87.662921529
1042168,41.861813345,-87.711631385
1042697,41.986685920999996,-87.710484112
1042758,41.927092999,-87.714613966
1042836,41.847322496,-87.712432345
1042926,41.808360134000004,-87.63334170200001
1044260,41.814551636,-87.695625118
1045227,41.890865773,-87.706409952
1045714,41.985727868000005,-87.702883341
1046587,41.707331398,-87.53287034200001
1047067,41.782269872,-87.68617018399998
